SatName,ChannelName,Frequency,VideoEncoding,Website,Beam,VideoCompression,SR,FEC,EIRP
SES 7,Udaya Movies,11600 V,SD,http://www.sunnetwork.in/tv-channel-details.aspx?Channelid=28&channelname=UDAYA%20MOVIES&LanguageID=3&Type=3,South Asia,MPEG-4,30000.0,03-Apr,0
SES 7,Udaya Movies,11680 V,SD,http://www.sunnetwork.in/tv-channel-details.aspx?Channelid=28&channelname=UDAYA%20MOVIES&LanguageID=3&Type=3,South Asia,MPEG-4,32700.0,03-Apr,0
SES 8,Udaya Movies,12688 H,Unknown,http://www.sunnetwork.in/tv-channel-details.aspx?Channelid=28&channelname=UDAYA%20MOVIES&LanguageID=3&Type=3,South Asia,Unknown,32000.0,03-Apr,0
Measat 3b,Udaya Movies,12316 H,SD,http://www.sunnetwork.in/tv-channel-details.aspx?Channelid=28&channelname=UDAYA%20MOVIES&LanguageID=3&Type=3,South Asia,MPEG-4,30000.0,05-Jun,
ST 2,Udaya Movies,11546 V,SD,http://www.sunnetwork.in/tv-channel-details.aspx?Channelid=28&channelname=UDAYA%20MOVIES&LanguageID=3&Type=3,India Continent,MPEG-4,44995.0,03-Apr,0
G-Sat 30,Udaya Movies,11590 H,SD,http://www.sunnetwork.in/tv-channel-details.aspx?Channelid=28&channelname=UDAYA%20MOVIES&LanguageID=3&Type=3,Ku,MPEG-4,32720.0,03-May,
Intelsat 17,Udaya Movies,3885 V,SD,http://www.sunnetwork.in/tv-channel-details.aspx?Channelid=28&channelname=UDAYA%20MOVIES&LanguageID=3&Type=3,Landmass,MPEG-4,30000.0,03-Apr,38.2
Hotbird 13F,Animal Planet Polska,11258 H,HD,https://www.animalplanet.com/,Wide,MPEG-4,27500.0,03-Apr,44-46
Hellas Sat 4,Eurobet Canale Azzurro,10730 H,Unknown,https://www.eurobet.it/,Europe,HEVC,30000.0,03-Apr,
Thor 6,CT 1,12054 H,HD,https://www.ceskatelevize.cz/porady/ct1/,K2,MPEG-4,30000.0,03-Apr,0
