SatName,ChannelName,Frequency,VideoEncoding,Countries
Intelsat 17,Udaya Movies,3885 V,SD,India
Hotbird 13F,Animal Planet Polska,11258 H,HD,Poland
Hotbird 13F,Animal Planet Polska,11258 H,HD,United States
Hellas Sat 4,Eurobet Canale Azzurro,10730 H,Unknown,Italy
Thor 6,CT 1,12054 H,HD,Czechia
Badr 7,Ihsan TV,11010 V,SD,Nigeria
Eutelsat 9B,Naftemporiki TV,12475 H,HD,Greece
BulgariaSat 1,Travel TV,12207 V,SD,Bulgaria
Optus 10,Bloomberg TV Australia,12398 H,SD,United States
Optus 10,Bloomberg TV Australia,12398 H,SD,Australia
Es'hail 2,Star World Middle East,11350 V,HD,United States
Intelsat 21,Televisiete,Ku,Unknown,Guatemala
Al Yah 1,Valiasr-aj TV,12149 V,HD 1080,Iran
SES 6,BFBS Sport,4133 R,SD,United Kingdom
SES 21,Vice TV West,4100 H,HD 1080,United States
Telkom 4,Ahsan TV,3773 H,SD,Indonesia
G-Sat 15,E-Vidya 67,11010 V,SD,India
NSS 12,Hope Channel Ethiopia,11165 H,SD,United States
NSS 12,Hope Channel Ethiopia,11165 H,SD,Ethiopia
Hotbird 13G,World Revival Mission,10815 H,SD,Germany
Hotbird 13G,World Revival Mission,10815 H,SD,Ukraine
Eutelsat 117 West A,TVC Deportes 2,3820 H,HD,Mexico
Eutelsat 16A,Sport Klub HD,11221 H,HD,Serbia
Eutelsat 16A,Sport Klub HD,11221 H,HD,Hungary
Eutelsat 16A,Mini TV,11678 H,SD,Croatia
BulgariaSat 1,K CN 2,12458 H,SD,Serbia
SES 7,Light TV,11510 H,SD,Philippines
G-Sat 18,KITE VICTERS Plus,11667 V,SD,India
ABS 2A,Detective Jam,11920 V,HD,Russia
SES 5,Bet 9JA Stadium Serie A,12034 H,SD,Nigeria
Amos 3,Film Mánia,10842 V,SD,Hungary
Intelsat 21,MLB Extra Innings 6,Ku,Unknown,United States
Paksat 1R,Sindh TV News,3969 V,HD,Unknown
Eutelsat 16A,RTL Crime,11595 H,SD,Croatia
Eutelsat 9B,Teleuniverso,12226 V,HD 1080,Italy
Anik G1,CTV Toronto,11592 H,HD,Canada
Telstar 14R,Unisa 4,11875 H,SD,Brazil
Apstar 7,Trace Urban Southeast Asia,4000 H,HD,France
Eutelsat 9B,Ant1 Europe,12054 H,SD,Greece
Galaxy 30,A&E Canada,4160 H,HD,Canada
Galaxy 30,A&E Canada,4160 H,HD,United States
Eutelsat 5 West B,Catalan TV,12585 H,SD,Italy
SES 5,ST Nollywood F,11766 H,SD,China
Sky Brasil 1,Sky Play PPV 5,11422 V,HD,Brazil
Eutelsat 9B,Extra TV,12226 V,HD 720,Italy
Eutelsat 36B,Shokiruyuschee,11766 L,HD,Russia
Eutelsat 10B,PPP+ TV,3898 R,SD,Kenya
Türksat 4A,AmuLudun TV,18739 L,SD,Nigeria
Eutelsat 117 West A,Megacanal,3820 H,SD,Mexico
Eutelsat 36B,Lumen Christi Catholic TV,12034 V,SD,Nigeria
SES 4,Voir + Afrique,11171 V,HD,France
Koreasat 6,TVN Story,12290 H,HD,South Korea
Badr 8,IEN Doros 23,12437 V,SD,Saudi Arabia
Thor 6,TV 2 Østjylland,10841 H,SD,Denmark
Thaicom 6,DLTV 9,12645 V,HD,Thailand
Telstar 12 Vantage,FETV,11795 H,SD,Panama
Optus D2,Sky Sport 3,12608 H,SD,New Zealand
Intelsat 30,FX Chile,Ku,Unknown,United States
Intelsat 30,FX Chile,Ku,Unknown,Chile
Eutelsat 5 West B,Rai Storia,12606 V,SD,Italy
Eutelsat 8 West B,Almasirah Mubasher,11096 H,SD,Yemen
G-Sat 30,Star Suvarna,11510 H,SD,India
Astra 3B,Arena Sport 1x2,12402 V,SD,Serbia
Hotbird 13G,Polsat News 2,11158 V,SD,Poland
Amos 7,Disney Channel Israel,11103 V,HD,Israel
Amos 7,Disney Channel Israel,11103 V,HD,United States
EchoStar 10,WGEM-TV,12588 L,SD,Unknown
BulgariaSat 1,Passion XXX,12458 H,SD,Netherlands
Eutelsat 7 West A,Mosar3a 1,10815 H,SD,Unknown
ABS 2A,Russkiy Illusion Mezhdunarodnaya versiya,11531 V,SD,Russia
G-Sat 15,E-Vidya 26,10970 V,SD,India
Anik G1,Super Écran 3,11122 V,HD,Canada
Eutelsat 8 West B,Wasat TV,11096 H,HD 1080,Libya
ChinaSat 6E,Handwriting Channel,4140 V,SD,China
T8,WTNH-TV,Ku,Unknown,United States
Türksat 4A,Anadolu Dernek TV,12034 V,SD,Turkey
Intelsat 23,Canal 27,12138 H,SD,Guatemala
G-Sat 30,SVBC 3 Kannada,3768 H,SD,India
EchoStar 10,KVEW-TV,12384 L,SD,United States
T8,KTBS-TV,Ku,Unknown,United States
Intelsat 17,Chintu TV,3925 V,SD,India
G-Sat 17,TV 24,4176 H,SD,India
Eutelsat 7B,Top Plus,12604 H,SD,Tanzania
Star One D2,TV Morena Campo Grande,12120 V,HD,Brazil
AsiaSat 7,Cartoon Network Philippines,3960 H,SD,Philippines
AsiaSat 7,Cartoon Network Philippines,3960 H,SD,United States
G-Sat 15,E-Vidya 112,11130 V,SD,India
Eutelsat 3B,Urban TV,3914 R,SD,Unknown
Apstar 7,Wei Xin TV,12561 V,HD,Taiwan
Astra 2F,Channel 4 Northern Ireland,12226 H,HD,United Kingdom
T8,KGBT-TV,Ku,Unknown,United States
Türksat 4A,Kanal 3,11837 V,HD 1080,Turkey
Astra 1N,Sky Cinema Premieren +24,12382 H,HD,Germany
Star One C4,TNT Novelas Brasil,12620 H,SD,Brazil
Star One C4,TNT Novelas Brasil,12620 H,SD,United States
Eutelsat 9B,FX Greece,12169 H,HD,United States
Eutelsat 9B,FX Greece,12169 H,HD,Greece
SES 5,ST Ganza,11862 V,SD,China
Nimiq 6,Vu! PPV Sporting Events,12632 R,SD,Unknown
Astra 1N,Sky Sport 3,12304 H,HD,Germany
Star One C3,TV Subaé,3758 H,1seg,Brazil
T8,KVEO-TV,Ku,Unknown,United States
Anik G1,Boomerang Canada,11122 V,HD,Canada
Anik G1,Boomerang Canada,11122 V,HD,United States
Eutelsat 9B,Top Crime,12111 V,HD 1080,Italy
Koreasat 7,MovieChoice 1,12169 H,HD,South Korea
Galaxy 3C,OPM TV,Ku,Unknown,United States
Es'hail 1,Sisal Loterie Nationale,21420 V,HD,Morocco
EchoStar 14,KFQX-TV,12253 R,SD,United States
T8,KNME-TV,Ku,Unknown,United States
Galaxy 37/Horizons 4,NTD TV East,4020 H,HD,United States
Anik F3,RTN 47,11867 R,SD,United States
Eutelsat 9B,ERT News,11938 H,SD,Greece
Badr 5,Hamedan TV,12303 H,SD,Iran
Eutelsat 16A,RTSH Satelit,12639 H,HD 1080,Albania
Bangabandhu 1,Asian TV,11265 V,HD 1080,Bangladesh
Türksat 5B,TRT 1,11305 V,HD,Turkey
Amos 4,Disney Channel India,10914 V,SD,India
Amos 4,Disney Channel India,10914 V,SD,United States
TurkmenÄlem/MonacoSat,AVA Series,10845 V,HD 1080,Unknown
Eutelsat 8 West B,ZNBC TV 4,3850 R,SD,Zambia
Intelsat 17,Republic Kannada,4006 H,SD,India
Eutelsat 36B,Ekran 7 Kinozal,11843 L,SD,Russia
Anik F3,SIC Notícias,12155 L,SD,Portugal
Astra 3B,Arena Sport 1,11798 H,HD,Serbia
ST 2,D2h Home 1,11609 V,SD,India
BulgariaSat 1,RiC International,12169 V,SD,Germany
Amazonas 5,Zona Latina,12230 V,SD,Chile
Eutelsat 117 West A,FFAA TV,3910 H,SD,Honduras
Astra 2E,Sky Sports Active 9,12070 H,SD,United Kingdom
Hotbird 13F,Sky Nature,12466 V,HD,Italy
Koreasat 6,JEI Talent TV,12530 H,HD,South Korea
G-Sat 15,E-Vidya 5,10970 V,SD,India
Intelsat 20,Colors Asia Pacific,3993 H,SD,India
Intelsat 30,Hola! TV América Latina,Ku,Unknown,Spain
Measat 3d,Astro Awani,11062 V,SD,Malaysia
Express AMU1,Pervyy Vegetarianskiy,12111 L,SD,Russia
Astra 2F,Boomerang UK,12168 V,HD,United States
Astra 2F,Boomerang UK,12168 V,HD,United Kingdom
Vinasat 1,On Sports News,11629 H,HD,Vietnam
EchoStar 10,KSQA,12661 R,SD,United States
Galaxy 3C,Honvietv,Ku,Unknown,United States
Astra 1N,QVC Zwei,12552 V,SD,United States
Astra 1N,QVC Zwei,12552 V,SD,Germany
Star One C4,ESPN 2 Brasil,12540 H,SD,Brazil
Star One C4,ESPN 2 Brasil,12540 H,SD,United States
EchoStar 10,KLCW-TV,12661 R,SD,United States
Intelsat 20,Movies Now +,3974 H,HD,India
Badr 5,IRIB 4,11900 V,SD,Iran
AsiaSat 7,Star Plus Southeast Asia,3980 V,SD,Hong Kong
Optus D2,TVNZ 1 Auckland,12483 H,SD,New Zealand
Express AM8,Syria Drama 24,11689 H,SD,Syria
Star One D2,Record RS,11820 H,HD,Brazil
Nimiq 6,Vu! PPV 4,12559 L,SD,Canada
T8,Antena 3 Internacional,Ku,Unknown,Spain
Eutelsat 8 West B,Aljazeera Documentary,12521 H,HD 1080,Qatar
EchoStar 10,One Caribbean TV,12632 R,SD,United States
EchoStar 14,KEYE-DT 2,12282 R,SD,United States
SES 5,BYU TV Global,12015 V,SD,United States
Apstar 7,Life TV,12561 V,SD,Taiwan
