NetName,SatName,Frequency,ChannelVideoEncoding,NetworkedChannels
American Forces Network,NSS 9,4055 L,SD,AFN Prime Pacific
American Forces Network,NSS 9,4055 L,SD,AFN News
American Forces Network,NSS 9,4055 L,SD,AFN Sports
American Forces Network,Intelsat 18,3753 R,HD,AFN Prime Atlantic
American Forces Network,Intelsat 18,3753 R,HD,AFN News
American Forces Network,Intelsat 18,3753 R,HD,AFN Sports
American Forces Network,Intelsat 18,3753 R,HD,AFN Prime Pacific
American Forces Network,Intelsat 18,3753 R,HD,AFN Spectrum
American Forces Network,Intelsat 18,3753 R,HD,AFN Sports 2
American Forces Network,Intelsat 18,3753 R,HD,AFN Family
American Forces Network,Intelsat 18,3753 R,HD,AFN Movie
American Forces Network,Intelsat 18,3753 R,SD,AFN Guide
Anuvu,Intelsat 18,4095 R,SD,MTN Special Events
Anuvu,Intelsat 18,4095 R,SD,MSNBC International
Anuvu,Intelsat 18,4095 R,SD,Fox News Channel
Anuvu,Intelsat 18,4095 R,SD,CNBC US
Anuvu,Intelsat 18,4095 R,SD,Sky News International
Anuvu,Intelsat 18,4095 R,SD,BBC News
Anuvu,Intelsat 18,4095 R,SD,Prime Journey
Anuvu,Intelsat 18,4095 R,SD,Sky Sports News UK
Anuvu,Intelsat 18,4095 R,HD,Sport 24
Anuvu,Intelsat 18,4095 R,SD,Prime One
Anuvu,Intelsat 18,4095 R,SD,Sport 24 Extra
Anuvu,Intelsat 18,4095 R,SD,RTL Deutschland
Anuvu,Intelsat 18,4095 R,SD,Sky News Australia
Anuvu,Intelsat 18,4095 R,SD,TFC Middle East
Anuvu,Intelsat 18,4095 R,SD,Prime Favorites
Anuvu,Intelsat 18,4095 R,HD,BBC HD
Anuvu,Intelsat 18,4095 R,SD,TVE Internacional Europa
Anuvu,Intelsat 18,4095 R,SD,Canal 24 Horas
Anuvu,Intelsat 18,4095 R,SD,Australian Comedy & Drama Channel
Anuvu,Intelsat 18,4095 R,SD,Food Network East
Anuvu,Intelsat 18,4095 R,SD,HGTV East
Anuvu,Intelsat 18,4095 R,SD,Travel Channel East
Anuvu,Intelsat 18,4095 R,SD,France 24 Français
Anuvu,Intelsat 18,4095 R,SD,Mediaset Italia
Anuvu,Intelsat 18,4095 R,SD,Hunan TV
Anuvu,Intelsat 18,4095 R,SD,CCTV 6
Anuvu,Intelsat 18,4095 R,SD,CCTV Entertainment
Anuvu,Intelsat 18,4095 R,SD,CCTV 4 America
Anuvu,Intelsat 18,4095 R,SD,National Geographic UK
France TV,Intelsat 18,11155 H,SD,Polynésie 1ère
France TV,Intelsat 18,11155 H,SD,Nouvelle Calédonie 1ère
France TV,Intelsat 18,11155 H,SD,Wallis & Futuna 1ère
France TV,Intelsat 18,11155 H,SD,France 2
France TV,Intelsat 18,11155 H,SD,France 3
France TV,Intelsat 18,11155 H,SD,France 4
France TV,Intelsat 18,11155 H,SD,France 5
France TV,Intelsat 18,11155 H,SD,ARTE Français
France TV,Intelsat 18,11155 H,SD,Franceinfo:
France TV,Intelsat 18,11155 H,SD,France 24 Français
Walesi,Eutelsat 172B,3947 H,SD,FBC TV
Walesi,Eutelsat 172B,3947 H,HD,FBC Sports
Walesi,Eutelsat 172B,3947 H,SD,FBC 2
Walesi,Eutelsat 172B,3947 H,SD,Parliament of Fiji
Walesi,Eutelsat 172B,3947 H,SD,Fiji One
Walesi,Eutelsat 172B,3947 H,SD,Mai TV
Walesi,Eutelsat 172B,3947 H,SD,Hope Channel Fiji
Walesi,Eutelsat 172B,3947 H,SD,Education Channel
ABC NT,Eutelsat 172B,11044 V,SD,ABC TV NT
ABC NT,Eutelsat 172B,11044 V,SD,ABC Me NT
ABC NT,Eutelsat 172B,11044 V,HD,ABC TV NT
ABC WA,Eutelsat 172B,11044 V,SD,ABC TV WA
ABC WA,Eutelsat 172B,11044 V,SD,ABC Me WA
ABC WA,Eutelsat 172B,11044 V,HD,ABC TV WA
