NetName,SatName,Frequency,Beam,SR,FEC,EIRP
American Forces Network,NSS 9,4055 L,Global,11000,1/2,34-35
American Forces Network,Intelsat 18,3753 R,North hemi,30000,2/3,null
American Forces Network,Koreasat 5A,12470 V,NE Asia,30000,2/3,0
American Forces Network,Koreasat 5A,12590 V,NE Asia,30000,2/3,0
American Forces Network,NSS 12,4095 L,Global,11000,1/2,34-36
American Forces Network,Eutelsat 9B,11804 V,Wide,27500,2/3,44-45
American Forces Network,Intelsat 35e,4126 L,Global,11000,1/2,null
Anuvu,Intelsat 18,4095 R,Global,30000,3/4,null
Anuvu,NSS 12,4095 R,Global,30000,3/4,34-36
Anuvu,Astra 4A,12226 H,Europe BSS,31420,4/5,0-47
Anuvu,Intelsat 35e,4132 R,Global,30000,3/4,null
Anuvu,Telstar 14R,11564 H,North Atlantic Ocean Region,3320,1/2,null
Walesi,Eutelsat 172B,3947 H,C,15000,3/5,0
MySat,Horizons 3e,11003 H,null,28800,2/3,null
MySat,AsiaSat 9,12415 V,Australasia,40000,7/8,0
Warner Bros. Discovery,Intelsat 19,3840 V,West hemi,30000,3/4,0
Warner Bros. Discovery,Intelsat 19,3980 H,West hemi,30000,3/4,0
Warner Bros. Discovery,Intelsat 19,4040 V,West hemi,30000,3/4,0
Warner Bros. Discovery,Intelsat 19,4080 V,West hemi,30000,3/4,0
Warner Bros. Discovery,Intelsat 20,3739 H,Landmass,30000,3/4,37.1-39.1
Warner Bros. Discovery,Eutelsat 21B,10723 V,Wide,32115,1/2,47
Warner Bros. Discovery,Hotbird 13F,11258 H,Wide,27500,3/4,44-46
Warner Bros. Discovery,Hotbird 13F,11334 H,Wide,27500,3/4,44-46
Warner Bros. Discovery,Hotbird 13F,11393 V,Wide,27500,3/4,44-46
Warner Bros. Discovery,Hotbird 13F,11508 V,Wide,27500,3/4,44-46
Warner Bros. Discovery,Eutelsat 9B,11881 V,Wide,30000,3/4,44-45
Warner Bros. Discovery,Eutelsat 9B,11919 V,Wide,30000,3/4,44-45
Warner Bros. Discovery,Intelsat 21,3840 V,West hemi,30000,8/9,0
Warner Bros. Discovery,Intelsat 21,3880 V,West hemi,30000,8/9,0
Warner Bros. Discovery,Intelsat 21,3960 V,West hemi,30000,8/9,0
Warner Bros. Discovery,Intelsat 21,4120 H,West hemi,30000,8/9,0
Warner Bros. Discovery,SES 1,4020 H,North America C,30000,5/6,0
Warner Bros. Discovery,Galaxy 37/Horizons 4,4180 H,North America C,30000,3/4,0
Paramount International Networks,Intelsat 19,3930 H,West hemi,15000,3/4,0
Paramount International Networks,Astra 1M,11973 V,Europe Wide,27500,3/4,47-49
Paramount International Networks,Thor 6,12226 V,K2,27500,5/6,0
China Radio International,Intelsat 19,3956 V,West hemi,3555,3/4,0
China Radio International,Intelsat 20,4083 V,Landmass,3550,3/4,37.1-39.1
China Radio International,Intelsat 14,11605 H,US & Europe & Africa,990,2/3,49.5-51.5
Intelsat,Intelsat 19,4060 H,West hemi,30000,3/4,0
Intelsat,Intelsat 20,4064 H,Landmass,19850,7/8,37.1-39.1
Intelsat,Intelsat 20,12522 H,Europe & Africa,30000,3/4,44.8-45.8
Intelsat,Intelsat 21,3840 H,West hemi,27690,7/8,0
Intelsat,Galaxy 19,12184 H,Ku,22500,2/3,0
NHK World Network,Intelsat 19,4146 H,West hemi,19910,1/2,0
NHK World Network,Intelsat 20,4128 H,Landmass,14890,2/3,37.1-39.1
NHK World Network,Intelsat 21,4166 H,West hemi,19910,1/2,0
Pasifika TV,Intelsat 19,4146 V,West hemi,8400,3/5,0
BBC World Service,Intelsat 19,4161 V,West hemi,3448,3/5,0
BBC World Service,AsiaSat 5,4132 H,C,10587,2/3,38-40
BBC World Service,SES 5,4000 R,Hemi,18200,1/2,39
BBC World Service,SES 5,4087 L,Global,1000,5/6,null
BBC World Service,Intelsat 34,4131 H,Americas & Europe,5422,2/3,0
ABS-CBN,Intelsat 19,4180 H,West hemi,30000,2/3,0
ABC Sydney,Optus D2,12443 V,NANZ,1644,3/4,null
ABC Melbourne,Optus D2,12445 V,NANZ,835,3/4,null
Freeview,Optus D2,12456 H,NZB,22500,3/4,null
Freeview,Optus D2,12483 H,NZB,22500,3/4,null
ABC NSW,Optus D2,12470 H,NB,47300,4/5,null
ABC NSW,Optus D2,12658 H,NB,47300,4/5,null
ABC SA,Optus D2,12470 H,NB,47300,4/5,null
ABC SA,Optus D2,12658 H,NB,47300,4/5,null
ABC NT,Eutelsat 172B,11044 V,South Pacific,45000,4/5,null
ABC NT,Optus D2,12470 H,NB,47300,4/5,null
ABC NT,Optus D2,12658 H,NB,47300,4/5,null
ABC WA,Eutelsat 172B,11044 V,South Pacific,45000,4/5,null
ABC WA,Optus D2,12470 H,NB,47300,4/5,null
ABC WA,Optus D2,12658 H,NB,47300,4/5,null
ABC Victoria,Optus D2,12470 H,NB,47300,4/5,null
ABC Victoria,Optus D2,12658 H,NB,47300,4/5,null
ABC Queensland,Eutelsat 172B,11044 V,South Pacific,45000,4/5,null
ABC Queensland,Optus D2,12470 H,NB,47300,4/5,null
ABC Queensland,Optus D2,12658 H,NB,47300,4/5,null
Bricast,BRIsat,3532 H,null,13330,3/5,null
Bricast,BRIsat,3855 V,null,13330,3/5,null
RTRS 1,Express AMU7,3662 R,Fixed C,15285,3/4,null
RTRS 1,Express AMU7,3714 R,Fixed C,15285,3/4,null
RTRS 1,Express AMU3,3688 R,Fixed C,15284,3/4,null
RTRS 1,Express AMU3,3785 R,Fixed C,15284,3/4,null
RTRS 1,Yamal 401,3640 R,Russia C,15285,3/4,0
RTRS 1,Yamal 401,3705 L,Russia C,15285,3/4,0
RTRS 1,Yamal 401,3786 R,Russia C,15284,3/4,0
RTRS 1,Yamal 401,4064 R,Russia C,15282,3/4,0
RTRS 1,Express AM6,10718 H,Ku Fixed 1,22900,3/4,45-47
RTRS 1,Express AM6,10840 V,Ku Fixed 1,15284,3/4,45-47
RTRS 1,Express AM6,10937 V,Ku Fixed 1,15284,3/4,45-47
RTRS 1,Yamal 601,3627 L,C,20580,5/6,44-45
RTRS 1,Yamal 601,3643 R,C,15284,3/4,44-45
RTRS 1,Yamal 601,3704 L,C,15284,3/4,44-45
RTRS 1,Yamal 601,3977 L,C,15284,3/4,44-45
RTRS 1,Cosmos 2520,3720 L,null,25760,2/3,null
RTRS 1,Express AM7,3665 L,C Fixed,15284,3/4,0
RTRS 1,Express AM7,4085 L,C Fixed,15284,3/4,0
RTRS,Express AMU7,3662 R,Fixed C,15285,3/4,null
RTRS,Express AMU7,3714 R,Fixed C,15285,3/4,null
RTRS,Express AMU3,3688 R,Fixed C,15284,3/4,null
RTRS,Express AMU3,3785 R,Fixed C,15284,3/4,null
RTRS,Yamal 401,3640 R,Russia C,15285,3/4,0
RTRS,Yamal 401,3705 L,Russia C,15285,3/4,0
RTRS,Yamal 401,3786 R,Russia C,15284,3/4,0
RTRS,Yamal 401,4064 R,Russia C,15282,3/4,0
RTRS,Express AM6,10718 H,Ku Fixed 1,22900,3/4,45-47
RTRS,Express AM6,10840 V,Ku Fixed 1,15284,3/4,45-47
RTRS,Express AM6,10937 V,Ku Fixed 1,15284,3/4,45-47
RTRS,Yamal 601,3627 L,C,20580,5/6,44-45
RTRS,Yamal 601,3643 R,C,15284,3/4,44-45
RTRS,Yamal 601,3977 L,C,15284,3/4,44-45
RTRS,Cosmos 2520,3720 L,null,25760,2/3,null
RTRS,Express AM7,3665 L,C Fixed,15284,3/4,0
RTRS,Express AM7,4085 L,C Fixed,15284,3/4,0
GMA Network,Telstar 18 Vantage,3745 H,Asia & Australia & Pacific,4583,3/4,0
GMA Network,Telstar 18 Vantage,3751 H,Asia & Australia & Pacific,4444,2/3,0
GMA Network,Telstar 18 Vantage,3847 H,Asia & Australia & Pacific,8000,3/4,0
GMA Network,Apstar 7,3850 V,C,4444,2/3,38.5
GMA Network,SES 22,4015 V,North America,4444,2/3,0
Solar Entertainment,Telstar 18 Vantage,3835 H,Asia & Australia & Pacific,2500,3/4,0
Solar Entertainment,Telstar 18 Vantage,3867 H,Asia & Australia & Pacific,3750,3/4,0
Zoe Broadcasting Network,Telstar 18 Vantage,3872 H,Asia & Australia & Pacific,3750,5/6,0
Viva Entertainment,Telstar 18 Vantage,3876 H,Asia & Australia & Pacific,3750,3/4,0
People's TV,Telstar 18 Vantage,3930 V,Asia & Australia & Pacific,3500,5/6,0
SpeedCast,Telstar 18 Vantage,3946 V,Asia & Australia & Pacific,17600,3/4,0
TV 5 Network,Telstar 18 Vantage,4081 H,Asia & Australia & Pacific,10000,3/5,0
VTV,Apstar 6C,3418 H,C,19200,2/3,0
MWD Digital TV,LaoSat 1,3576 V,C,21600,2/3,0
LaoSat,LaoSat 1,3651 V,C,12000,2/3,0
CCTV,Apstar 6C,3940 V,C,28800,3/4,0
CCTV,Apstar 6C,4020 V,C,28800,3/4,0
CCTV,Apstar 6C,4060 V,C,28800,3/4,0
CCTV,ChinaSat 6D,3720 H,C,27500,3/4,0
CCTV,ChinaSat 6D,3780 V,C,27500,3/4,0
CCTV,ChinaSat 6D,3820 V,C,27500,null,0
CCTV,ChinaSat 6D,4060 V,C,27500,3/4,0
CCTV,ChinaSat 6D,4100 V,C,27500,3/4,0
CCTV,ChinaSat 6D,4130 V,C,14800,3/4,0
CCTV,ChinaSat 6D,4145 V,C,8330,3/4,0
CCTV,ChinaSat 6E,3840 H,null,27500,3/4,null
CCTV,ChinaSat 6E,3880 H,null,27500,3/4,null
CCTV,ChinaSat 6E,3920 H,null,27500,3/4,null
CCTV,ChinaSat 6E,4116 H,null,21374,3/4,null
CCTV,ChinaSat 9,11750 R,Ku,30000,4/5,0
CCTV,ChinaSat 9,11810 R,Ku,30000,4/5,0
CCTV,ChinaSat 9,11860 R,Ku,30000,4/5,0
CCTV,ChinaSat 9,12040 L,Ku,30000,4/5,0
CCTV,ChinaSat 9,12100 R,Ku,28800,3/4,0
CCTV,ChinaSat 9,12120 L,Ku,30000,4/5,0
CCTV,Hotbird 13G,11585 V,Wide,27500,5/6,44-46
CCTV,Intelsat 34,4175 H,Americas & Europe,30000,3/4,0
CCTV,Galaxy 19,12084 V,Ku,20760,3/4,0
Shanghai Media Group,ChinaSat 6D,3794 H,C,20000,3/4,0
Shanghai Media Group,ChinaSat 6D,3940 V,C,29500,3/4,0
Shanghai Media Group,ChinaSat 6E,3808 H,null,8800,3/4,null
Shanghai Media Group,AsiaSat 7,3715 H,C,8167,3/4,36-40
Xizang TV,ChinaSat 6D,3989 H,C,9070,3/4,0
Xinjiang TV,ChinaSat 6D,4120 H,C,27500,3/4,0
Sky PerfecTV!,JCSAT 3A,12428 V,Ku,23303,3/5,0
Sky PerfecTV!,JCSAT 3A,12523 H,Ku,23303,3/5,0
Sky PerfecTV!,JCSAT 3A,12568 V,Ku,23303,3/5,0
Sky PerfecTV!,JCSAT 3A,12583 H,Ku,23303,3/5,0
Sky PerfecTV!,JCSAT 3A,12598 V,Ku,23303,3/5,0
Sky PerfecTV!,JCSAT 3A,12613 H,Ku,23303,3/5,0
Sky PerfecTV!,JCSAT 3A,12628 V,Ku,21096,3/4,0
Sky PerfecTV!,JCSAT 3A,12643 H,Ku,23303,3/5,0
Sky PerfecTV!,JCSAT 3A,12673 H,Ku,23303,3/5,0
Sky PerfecTV!,JCSAT 3A,12688 V,Ku,23303,3/5,0
Sky PerfecTV!,JCSAT 3A,12703 H,Ku,23303,3/5,0
Sky PerfecTV!,JCSAT 3A,12718 V,Ku,23303,3/5,0
Sky PerfecTV!,JCSAT 3A,12733 H,Ku,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12448 V,Japan,21096,3/4,0
Sky PerfecTV!,JCSAT 4B,12523 H,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12553 H,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12568 V,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12583 H,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12598 V,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12613 H,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12628 V,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12643 H,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12673 H,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12688 V,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12703 H,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12718 V,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 4B,12733 H,Japan,23303,3/5,0
Sky PerfecTV!,JCSAT 15,12291 R,Ku,28860,3/4,null
Sky PerfecTV!,JCSAT 15,12331 R,Ku,28860,3/4,null
Sky PerfecTV!,JCSAT 15,12371 R,Ku,28860,3/4,null
Sky PerfecTV!,JCSAT 15,12411 R,Ku,28860,3/4,null
Sky PerfecTV!,JCSAT 15,12431 L,Ku,33756,7/9,null
Sky PerfecTV!,JCSAT 15,12451 R,Ku,28860,3/4,null
Sky PerfecTV!,JCSAT 15,12471 L,Ku,33756,7/9,null
Sky PerfecTV!,JCSAT 15,12491 R,Ku,28860,3/4,null
Sky PerfecTV!,JCSAT 15,12531 R,Ku,28860,3/4,null
