NetName,SatName,Frequency,Systems
American Forces Network,NSS 9,4055 L,DVB-S2
American Forces Network,Intelsat 18,3753 R,DVB-S2
American Forces Network,Intelsat 18,3753 R,8PSK
American Forces Network,Koreasat 5A,12470 V,DVB-S2
American Forces Network,Koreasat 5A,12470 V,8PSK
American Forces Network,Koreasat 5A,12590 V,DVB-S2
American Forces Network,Koreasat 5A,12590 V,8PSK
American Forces Network,NSS 12,4095 L,DVB-S2
American Forces Network,NSS 12,4095 L,QPSK
American Forces Network,Eutelsat 9B,11804 V,DVB-S2
American Forces Network,Eutelsat 9B,11804 V,8PSK
American Forces Network,Intelsat 35e,4126 L,DVB-S2
American Forces Network,Intelsat 35e,4126 L,QPSK
Anuvu,Intelsat 18,4095 R,DVB-S2
Anuvu,Intelsat 18,4095 R,QPSK
Anuvu,NSS 12,4095 R,DVB-S2
Anuvu,NSS 12,4095 R,QPSK
Anuvu,Astra 4A,12226 H,DVB-S2
Anuvu,Astra 4A,12226 H,QPSK
Anuvu,Intelsat 35e,4132 R,DVB-S2
Anuvu,Intelsat 35e,4132 R,QPSK
Anuvu,Telstar 14R,11564 H,DVB-S2
Anuvu,Telstar 14R,11564 H,QPSK
Walesi,Eutelsat 172B,3947 H,DVB-S2
Walesi,Eutelsat 172B,3947 H,8PSK
MySat,Horizons 3e,11003 H,DVB-S2
MySat,Horizons 3e,11003 H,QPSK
MySat,AsiaSat 9,12415 V,DVB-S
Warner Bros. Discovery,Intelsat 19,3840 V,DVB-S2
Warner Bros. Discovery,Intelsat 19,3840 V,8PSK
Warner Bros. Discovery,Intelsat 19,3980 H,DVB-S2
Warner Bros. Discovery,Intelsat 19,3980 H,8PSK
Warner Bros. Discovery,Intelsat 19,4040 V,DVB-S2
Warner Bros. Discovery,Intelsat 19,4040 V,8PSK
Warner Bros. Discovery,Intelsat 19,4080 V,DVB-S2
Warner Bros. Discovery,Intelsat 19,4080 V,8PSK
Warner Bros. Discovery,Intelsat 20,3739 H,DVB-S2
Warner Bros. Discovery,Intelsat 20,3739 H,8PSK
Warner Bros. Discovery,Eutelsat 21B,10723 V,DVB-S2
Warner Bros. Discovery,Eutelsat 21B,10723 V,QPSK
Warner Bros. Discovery,Hotbird 13F,11258 H,DVB-S2
Warner Bros. Discovery,Hotbird 13F,11258 H,8PSK
Warner Bros. Discovery,Hotbird 13F,11334 H,DVB-S2
Warner Bros. Discovery,Hotbird 13F,11334 H,8PSK
Warner Bros. Discovery,Hotbird 13F,11393 V,DVB-S2
Warner Bros. Discovery,Hotbird 13F,11393 V,8PSK
Warner Bros. Discovery,Hotbird 13F,11508 V,DVB-S2
