Name,Launch_Date,Launch_Rocket,PositionDegree,PositionDirection,Region
TDRS 8,2000-06-30,Atlas AC-139,167.0,E,Asia & Pacific
TDRS 10,2002-12-05,Atlas 2A - AC-144,171.0,E,Asia & Pacific
TDRS 11,2013-01-31,Atlas 5 - V401,174.0,E,Asia & Pacific
NSS 9,2009-02-12,Ariane 5 - V187,177.0,E,Asia & Pacific
Yamal 300K,2012-11-02,Proton,177.0,E,Asia & Pacific
Intelsat 18,2011-10-05,Zenit 3/Baikonur,180.0,E,Asia & Pacific
NSS 11,2000-10-01,Proton,176.0,E,Asia & Pacific
Eutelsat 174A,2005-12-29,Proton,174.0,E,Asia & Pacific
Eutelsat 172B,2017-06-01,Ariane 5 - VA237,172.0,E,Asia & Pacific
Horizons 3e,2018-09-25,Ariane 5 - VA243,169.0,E,Asia & Pacific
Intelsat 5,1997-08-28,Proton,166.1,E,Asia & Pacific
Luch 5A,2011-12-11,Proton,166.0,E,Asia & Pacific
Intelsat 19,2012-06-01,Zenit 3/Sea Launch,166.0,E,Asia & Pacific
Galaxy 11,1999-12-22,Ariane V125,166.0,E,Asia & Pacific
Yamal 202,2003-11-24,Proton,163.5,E,Asia & Pacific
ChinaSat 19,2022-11-05,Long March 3B,163.0,E,Asia & Pacific
Superbird B3,2018-04-05,Ariane 5 - VA242,162.0,E,Asia & Pacific
Optus D2,2007-10-05,Ariane 5,160.0,E,Asia & Pacific
ABS 6,1999-09-26,Proton,159.0,E,Asia & Pacific
Intelsat 1R,2000-11-16,Ariane 5 - V135,157.0,E,Asia & Pacific
Optus C1,2003-06-11,Ariane 5 - V161,156.0,E,Asia & Pacific
Optus D3,2009-08-21,Ariane 5 - V190,156.0,E,Asia & Pacific
Optus 10,2014-09-11,Ariane 5 - VA218,156.0,E,Asia & Pacific
Intelsat 10,2001-05-15,Ariane 4 - V141,155.5,E,Asia & Pacific
JCSAT 2B,2016-05-06,Falcon 9,154.0,E,Asia & Pacific
Optus D1,2006-10-13,Ariane 5,152.0,E,Asia & Pacific
BRIsat,2016-06-18,Ariane 5 - VA230,150.5,E,Asia & Pacific
JCSAT 1C,2019-12-17,Falcon 9,150.0,E,Asia & Pacific
AsiaSat 4,2003-04-12,Atlas 3B - AC-205,147.5,E,Asia & Pacific
Nusantara Satu,2019-02-22,Falcon 9,146.0,E,Asia & Pacific
Express AMU7,2021-12-13,Proton,145.0,E,Asia & Pacific
JCSAT 16,2016-08-14,Falcon 9,144.0,E,Asia & Pacific
Superbird C2,2008-08-14,Ariane 5 - V185,144.0,E,Asia & Pacific
Apstar 9,2015-10-16,Xichang,142.0,E,Asia & Pacific
Express AM5,2013-12-26,Proton,140.0,E,Asia & Pacific
Express AT2,2014-03-15,Proton,140.0,E,Asia & Pacific
Telstar 18 Vantage,2018-09-10,Falcon 9,138.0,E,Asia & Pacific
JCSAT 17,2020-02-18,Ariane 5 - VA252,136.0,E,Asia & Pacific
Apstar 6D,2020-07-09,Long March 3B,134.0,E,Asia & Pacific
Apstar 6C,2018-05-03,Long March 3B,134.0,E,Asia & Pacific
JCSAT 12,2009-08-21,Ariane 5 - V190,132.0,E,Asia & Pacific
JCSAT 5A,2006-04-12,Zenit 3,132.0,E,Asia & Pacific
Vinasat 1,2008-04-18,Ariane 5,132.0,E,Asia & Pacific
Vinasat 2,2012-05-15,Ariane 5 - VA206,131.8,E,Asia & Pacific
ChinaSat 6C,2019-03-09,Long March 3B,130.5,E,Asia & Pacific
ChinaSat 1D,2021-11-26,Long March 3B,130.0,E,Asia & Pacific
ChinaSat 2D,2019-01-10,Long March 3B,130.0,E,Asia & Pacific
LaoSat 1,2015-11-20,Long March 3B,128.5,E,Asia & Pacific
JCSAT 3A,2006-08-11,Ariane 5,128.0,E,Asia & Pacific
Cosmos 2526,2018-04-18,Proton,128.0,E,Asia & Pacific
ChinaSat 26,2023-02-23,Long March 3B,125.0,E,Asia & Pacific
ChinaSat 6D,2022-04-15,Long March 3B/E,125.0,E,Asia & Pacific
JCSAT 4B,2012-05-15,Ariane 5 - VA206,124.0,E,Asia & Pacific
AsiaSat 9,2017-09-28,Proton,122.0,E,Asia & Pacific
Hylas 1,2010-11-26,Ariane 5 - V198,121.5,E,Asia & Pacific
AsiaSat 6/Thaicom 7,2014-09-07,Falcon 9,120.0,E,Asia & Pacific
Thaicom 4,2005-08-11,Ariane,119.5,E,Asia & Pacific
Bangabandhu 1,2018-05-11,Falcon 9,119.1,E,Asia & Pacific
Telkom 3S,2017-02-14,Ariane 5 - VA235,118.0,E,Asia & Pacific
Koreasat 6,2010-12-29,Ariane 5 - V199,116.0,E,Asia & Pacific
Koreasat 7,2017-05-04,Ariane 5 - VA236,116.0,E,Asia & Pacific
ChinaSat 6B,2007-07-05,Long March 3B,115.5,E,Asia & Pacific
ChinaSat 6E,2023-11-09,Long March 3B,115.5,E,Asia & Pacific
Koreasat 5,2006-08-22,Zenit 3,113.0,E,Asia & Pacific
Koreasat 5A,2017-10-30,Falcon 9,113.0,E,Asia & Pacific
Merah Putih 2,2024-02-20,Falcon 9,113.0,E,Asia & Pacific
ChinaSat 10,2011-06-20,Long March 3B,110.5,E,Asia & Pacific
ChinaSat 16,2017-04-12,Long March 3BE,110.5,E,Asia & Pacific
BSAT 4B,2020-08-15,Ariane 5 - VA253,110.0,E,Asia & Pacific
BSAT 3A,2007-08-14,Ariane 5 - V177,110.0,E,Asia & Pacific
BSAT 3C/JCSAT 110R,2011-08-06,Ariane 5 - VA203,110.0,E,Asia & Pacific
JCSAT 15,2016-12-21,Ariane 5 - VA234,110.0,E,Asia & Pacific
BSAT 4A,2017-09-29,Ariane 5 - VA239,110.0,E,Asia & Pacific
BSAT 3B,2010-10-28,Ariane 5 - V197,110.0,E,Asia & Pacific
SES 7,2009-05-16,Proton,108.2,E,Asia & Pacific
SES 9,2016-03-04,Falcon 9,108.2,E,Asia & Pacific
